"País.de.residencia","Meses","Total","Year"
"Dinamarca",2,212,2002
"Dinamarca",3,150,2002
"Dinamarca",4,215,2002
"Dinamarca",5,203,2002
"Dinamarca",6,288,2002
"Dinamarca",7,282,2002
"Dinamarca",8,335,2002
"Dinamarca",9,295,2002
"Dinamarca",10,139,2002
"Dinamarca",11,64,2002
"Dinamarca",12,49,2002
"Dinamarca",1,96,2003
"Dinamarca",2,95,2003
"Dinamarca",3,193,2003
"Dinamarca",4,200,2003
"Dinamarca",5,130,2003
"Dinamarca",6,293,2003
"Dinamarca",7,444,2003
"Dinamarca",8,412,2003
"Dinamarca",9,409,2003
"Dinamarca",10,266,2003
"Dinamarca",11,109,2003
"Dinamarca",12,65,2003
"Dinamarca",1,30,2004
"Dinamarca",2,105,2004
"Dinamarca",3,198,2004
"Dinamarca",4,218,2004
"Dinamarca",5,304,2004
"Dinamarca",6,2823,2004
"Dinamarca",7,1006,2004
"Dinamarca",8,767,2004
"Dinamarca",9,506,2004
"Dinamarca",10,218,2004
"Dinamarca",11,67,2004
"Dinamarca",12,75,2004
"Dinamarca",1,45,2005
"Dinamarca",2,126,2005
"Dinamarca",3,254,2005
"Dinamarca",4,229,2005
"Dinamarca",5,247,2005
"Dinamarca",6,408,2005
"Dinamarca",7,946,2005
"Dinamarca",8,416,2005
"Dinamarca",9,577,2005
"Dinamarca",10,392,2005
"Dinamarca",11,259,2005
"Dinamarca",12,122,2005
"Dinamarca",1,125,2006
"Dinamarca",2,231,2006
"Dinamarca",3,134,2006
"Dinamarca",4,519,2006
"Dinamarca",5,445,2006
"Dinamarca",6,644,2006
"Dinamarca",7,1191,2006
"Dinamarca",8,632,2006
"Dinamarca",9,455,2006
"Dinamarca",10,325,2006
"Dinamarca",11,222,2006
"Dinamarca",12,64,2006
"Dinamarca",1,81,2007
"Dinamarca",2,92,2007
"Dinamarca",3,141,2007
"Dinamarca",4,364,2007
"Dinamarca",5,710,2007
"Dinamarca",6,837,2007
"Dinamarca",7,714,2007
"Dinamarca",8,653,2007
"Dinamarca",9,1192,2007
"Dinamarca",10,404,2007
"Dinamarca",11,255,2007
"Dinamarca",12,140,2007
